id;X;Y;Z;dist1;dist2;dist3
0;0.1;0;5.263399;1.793677;3.097716;1.793677
1;0.1;0;5.063399;1.81334;2.925125;1.81334
2;0.1;0;4.863399;1.854489;2.756242;1.854489
3;0.1;0;4.663399;1.91574;2.591792;1.91574
4;0.1;0;4.463399;1.995241;2.432673;1.995241
5;0.1;0;4.263399;2.090912;2.280003;2.090912
6;0.1;0;4.063399;2.200646;2.135164;2.200646
7;0.1;0;3.863399;2.322449;1.99986;2.322449
8;0.1;0;3.663399;2.454526;1.876154;2.454526
9;0.1;0;3.463399;2.595308;1.766484;2.595308
10;0.1;0;3.263399;2.743456;1.673613;2.743456
11;0.1;0;3.063399;2.89784;1.600467;2.89784
12;0.1;0;2.863399;3.057516;1.549841;3.057516
13;0.1;0;2.663399;3.221697;1.523982;3.221697
14;0.1;0;2.463399;3.389729;1.52415;3.389729
15;0.1;0;2.263399;3.561066;1.550338;3.561066
16;0.1;0;2.063399;3.735253;1.601269;3.735253
17;0.1;0;1.863399;3.91191;1.674687;3.91191
18;0.1;0;1.663399;4.090718;1.767792;4.090718
19;0.1;0;1.463399;4.271405;1.877659;4.271405
20;0.1;0;1.263399;4.453743;2.001528;4.453743
21;0.1;0;1.063399;4.637537;2.136967;4.637537
22;0.1;0;0.863399;4.822622;2.281917;4.822622
23;0.1;0;0.663399;5.008853;2.434678;5.008853
24;0.1;0;0.463399;5.196108;2.593872;5.196108
25;0.1;0;0.263399;5.384279;2.758384;5.384279
26;0.1;0;0.063399;5.573275;2.927319;5.573275
27;0.3;0;5.263399;1.593886;3.004585;1.593886
28;0.3;0;5.063399;1.615983;2.826313;1.615983
29;0.3;0;4.863399;1.662025;2.651143;1.662025
30;0.3;0;4.663399;1.730103;2.479732;1.730103
31;0.3;0;4.463399;1.817741;2.312917;1.817741
32;0.3;0;4.263399;1.922267;2.151767;1.922267
33;0.3;0;4.063399;2.041087;1.997652;2.041087
34;0.3;0;3.863399;2.171857;1.85233;2.171857
35;0.3;0;3.663399;2.312551;1.718034;2.312551
36;0.3;0;3.463399;2.461467;1.597546;2.461467
37;0.3;0;3.263399;2.617202;1.494211;2.617202
38;0.3;0;3.063399;2.77861;1.411801;2.77861
39;0.3;0;2.863399;2.944758;1.35414;2.944758
40;0.3;0;2.663399;3.114888;1.324465;3.114888
41;0.3;0;2.463399;3.288382;1.324659;3.288382
42;0.3;0;2.263399;3.464734;1.354709;3.464734
43;0.3;0;2.063399;3.64353;1.41271;3.64353
44;0.3;0;1.863399;3.824427;1.495414;3.824427
45;0.3;0;1.663399;4.00714;1.598992;4.00714
46;0.3;0;1.463399;4.191431;1.719677;4.191431
47;0.3;0;1.263399;4.377102;1.854131;4.377102
48;0.3;0;1.063399;4.563984;1.999579;4.563984
49;0.3;0;0.863399;4.751934;2.153794;4.751934
50;0.3;0;0.663399;4.94083;2.315026;4.94083
51;0.3;0;0.463399;5.130568;2.481906;5.130568
52;0.3;0;0.263399;5.321058;2.65337;5.321058
53;0.3;0;0.063399;5.512222;2.828584;5.512222
54;0.5;0;5.263399;1.394155;2.922194;1.394155
55;0.5;0;5.063399;1.419365;2.738564;1.419365
56;0.5;0;4.863399;1.471572;2.55739;1.471572
57;0.5;0;4.663399;1.548048;2.379235;1.548048
58;0.5;0;4.463399;1.645411;2.20483;1.645411
59;0.5;0;4.263399;1.760201;2.035138;1.760201
60;0.5;0;4.063399;1.889242;1.871443;1.889242
61;0.5;0;3.863399;2.029818;1.715463;2.029818
62;0.5;0;3.663399;2.179699;1.569499;2.179699
63;0.5;0;3.463399;2.337096;1.436608;2.337096
64;0.5;0;3.263399;2.500589;1.32074;2.500589
65;0.5;0;3.063399;2.669058;1.226731;2.669058
66;0.5;0;2.863399;2.841619;1.159906;2.841619
67;0.5;0;2.663399;3.01757;1.12512;3.01757
68;0.5;0;2.463399;3.19635;1.125348;3.19635
69;0.5;0;2.263399;3.377511;1.16057;3.377511
70;0.5;0;2.063399;3.560689;1.227777;3.560689
71;0.5;0;1.863399;3.745589;1.322101;3.745589
72;0.5;0;1.663399;3.931967;1.438215;3.931967
73;0.5;0;1.463399;4.119623;1.571298;4.119623
74;0.5;0;1.263399;4.308389;1.717408;4.308389
75;0.5;0;1.063399;4.498127;1.873501;4.498127
76;0.5;0;0.863399;4.688718;2.037282;4.688718
77;0.5;0;0.663399;4.880062;2.207041;4.880062
78;0.5;0;0.463399;5.072073;2.381501;5.072073
79;0.5;0;0.263399;5.26468;2.559699;5.26468
80;0.5;0;0.063399;5.457819;2.740907;5.457819
81;0.7;0;5.263399;1.194514;2.851474;1.194514
82;0.7;0;5.063399;1.223843;2.662972;1.223843
83;0.7;0;4.863399;1.284025;2.476274;1.284025
84;0.7;0;4.663399;1.371002;2.291822;1.371002
85;0.7;0;4.463399;1.480059;2.110204;1.480059
86;0.7;0;4.263399;1.606705;1.93222;1.606705
87;0.7;0;4.063399;1.74712;1.758974;1.74712
88;0.7;0;3.863399;1.898251;1.592012;1.898251
89;0.7;0;3.663399;2.057738;1.433532;2.057738
90;0.7;0;3.463399;2.223783;1.286673;2.223783
91;0.7;0;3.263399;2.395024;1.155873;2.395024
92;0.7;0;3.063399;2.570422;1.047166;2.570422
93;0.7;0;2.863399;2.749181;0.968023;2.749181
94;0.7;0;2.663399;2.930686;0.926058;2.930686
95;0.7;0;2.463399;3.114458;0.926335;3.114458
96;0.7;0;2.263399;3.300118;0.968819;3.300118
97;0.7;0;2.063399;3.487364;1.048391;3.487364
98;0.7;0;1.863399;3.675953;1.157427;3.675953
99;0.7;0;1.663399;3.86569;1.288468;3.86569
100;0.7;0;1.463399;4.056413;1.435502;4.056413
101;0.7;0;1.263399;4.247989;1.594107;4.247989
102;0.7;0;1.063399;4.440309;1.761162;4.440309
103;0.7;0;0.863399;4.633279;1.934478;4.633279
104;0.7;0;0.663399;4.826821;2.112515;4.826821
105;0.7;0;0.463399;5.020869;2.294174;5.020869
106;0.7;0;0.263399;5.215367;2.478658;5.215367
107;0.7;0;0.063399;5.410266;2.665382;5.410266
108;0.9;0;5.263399;0.995018;2.793312;0.995018
109;0.9;0;5.063399;1.030043;2.600597;1.030043
110;0.9;0;4.863399;1.100871;2.409071;1.100871
111;0.9;0;4.663399;1.201184;2.219039;1.201184
112;0.9;0;4.463399;1.3243;2.030923;1.3243
113;0.9;0;4.263399;1.464479;1.845308;1.464479
114;0.9;0;4.063399;1.61729;1.663032;1.61729
115;0.9;0;3.863399;1.779481;1.485325;1.779481
116;0.9;0;3.663399;1.948713;1.314041;1.948713
117;0.9;0;3.463399;2.123301;1.152049;2.123301
